worm_index,timestamp,realSpeed,coord_x_midbody,coord_y_midbody,motion_mode,genotype,condition,rowNum,realTime,flag
191,229,NA,595.48834228515625,554.31640625,NA,tdc-1,off-food,1,0.1,reversed
191,230,-0.2915989792048931,597.6419677734375,551.8228759765625,NA,tdc-1,off-food,2,0.2,reversed
191,231,-0.3018001525998116,600.115234375,548.75750732421875,NA,tdc-1,off-food,3,0.3,reversed
191,232,-0.30187199771404266,602.01153564453125,547.07318115234375,NA,tdc-1,off-food,4,0.4,reversed
191,233,-0.3044643996655941,604.8184814453125,545.42218017578125,NA,tdc-1,off-food,5,0.5,reversed
191,234,-0.3018881730437279,608.24761962890625,544.62982177734375,NA,tdc-1,off-food,6,0.6,reversed
191,235,-0.27904225954413414,611.0965576171875,544.0506591796875,NA,tdc-1,off-food,7,0.7,reversed
191,236,-0.29060902681946754,614.98468017578125,543.517333984375,NA,tdc-1,off-food,8,0.8,reversed
191,237,-0.3064705477058888,617.7001953125,542.6392822265625,NA,tdc-1,off-food,9,0.9,reversed
191,238,-0.32757259780168535,620.78857421875,541.60675048828125,NA,tdc-1,off-food,10,1,reversed
191,239,-0.3557481713891029,623.91259765625,539.60858154296875,NA,tdc-1,off-food,11,1.1,reversed
191,240,-0.33406845474243163,626.31365966796875,537.231201171875,NA,tdc-1,off-food,12,1.2,reversed
191,241,-0.302573311150074,628.196044921875,533.395263671875,NA,tdc-1,off-food,13,1.3,reversed
191,242,-0.26142469748854635,628.7196044921875,529.3299560546875,NA,tdc-1,off-food,14,1.4,reversed
191,243,-0.25501130881905554,629.37982177734375,526.17919921875,NA,tdc-1,off-food,15,1.5,reversed
191,244,-0.2767984600067139,630.34130859375,522.64068603515625,NA,tdc-1,off-food,16,1.6,reversed
191,245,-0.2766103709042072,632.13671875,519.40850830078125,NA,tdc-1,off-food,17,1.7,reversed
191,246,-0.2665931965112686,634.775146484375,516.8651123046875,NA,tdc-1,off-food,18,1.8,reversed
191,247,-0.26891840940713885,637.453369140625,515.9005126953125,NA,tdc-1,off-food,19,1.9,reversed
191,248,-0.26164802438020707,640.6014404296875,515.8902587890625,NA,tdc-1,off-food,20,2,reversed
191,249,-0.28823097574710843,644.34674072265625,517.35284423828125,NA,tdc-1,off-food,21,2.1,reversed
191,250,-0.302599869042635,647.012939453125,518.7264404296875,NA,tdc-1,off-food,22,2.2,reversed
191,251,-0.3159307281374931,651.06842041015625,520.60791015625,NA,tdc-1,off-food,23,2.3,reversed
191,252,-0.3223859061598778,655.35601806640625,522.359619140625,NA,tdc-1,off-food,24,2.4,reversed
191,253,-0.28011771538853647,658.3004150390625,522.95965576171875,NA,tdc-1,off-food,25,2.5,reversed
191,254,-0.2539771981537342,662.30511474609375,523.02203369140625,NA,tdc-1,off-food,26,2.6,reversed
191,255,-0.19787254893779754,664.71881103515625,522.37286376953125,NA,tdc-1,off-food,27,2.7,reversed
