worm_index,timestamp,realSpeed,coord_x_midbody,coord_y_midbody,motion_mode,genotype,condition,rowNum,realTime,flag
170,223,NA,7858.59619140625,5708.001953125,-1,cest-1.2,off-food,1,0.1,ok
170,224,-0.3512596946922508,7826.59130859375,5684.61962890625,-1,cest-1.2,off-food,2,0.2,ok
170,225,-0.37543158261410825,7789.45947265625,5663.95654296875,-1,cest-1.2,off-food,3,0.3,ok
170,226,-0.33745284484313415,7747.60302734375,5651.919921875,-1,cest-1.2,off-food,4,0.4,ok
170,227,-0.2901617819296347,7697.4658203125,5637.57373046875,-1,cest-1.2,off-food,5,0.5,ok
170,228,-0.22861039775126688,7665.119140625,5629.978515625,-1,cest-1.2,off-food,6,0.6,ok
170,229,-0.271666953971794,7639.4853515625,5624.16552734375,-1,cest-1.2,off-food,7,0.7,ok
170,230,-0.3004523881791948,7614.07861328125,5614.46435546875,-1,cest-1.2,off-food,8,0.8,ok
170,231,-0.30896063094955306,7584.32421875,5585.71142578125,-1,cest-1.2,off-food,9,0.9,ok
170,232,-0.2780615569793426,7563.7607421875,5555.6025390625,-1,cest-1.2,off-food,10,1,ok
170,233,-0.2586411715670749,7552.62841796875,5524.55859375,-1,cest-1.2,off-food,11,1.1,ok
170,234,-0.2833377891746727,7542.81494140625,5485.08740234375,-1,cest-1.2,off-food,12,1.2,ok
170,235,-0.29741860467034414,7535.40478515625,5445.6337890625,-1,cest-1.2,off-food,13,1.3,ok
170,236,-0.29032806011577983,7517.5166015625,5403.0400390625,-1,cest-1.2,off-food,14,1.4,ok
170,237,-0.29722285777598884,7488.96240234375,5368.44873046875,-1,cest-1.2,off-food,15,1.5,ok
170,238,-0.29047815051379505,7466.5419921875,5355.8896484375,-1,cest-1.2,off-food,16,1.6,ok
170,239,-0.31296885529939117,7424.333984375,5346.84228515625,-1,cest-1.2,off-food,17,1.7,ok
170,240,-0.29397855301590653,7384.55322265625,5350.89892578125,-1,cest-1.2,off-food,18,1.8,ok
170,241,-0.27134730516038497,7345.767578125,5364.30419921875,-1,cest-1.2,off-food,19,1.9,ok
170,242,-0.2808152677518827,7304.9169921875,5377.76416015625,-1,cest-1.2,off-food,20,2,ok
170,243,-0.2695112579620636,7272.50341796875,5386.4228515625,-1,cest-1.2,off-food,21,2.1,ok
170,244,-0.30311539933488174,7230.6591796875,5394.23779296875,-1,cest-1.2,off-food,22,2.2,ok
170,245,-0.26464105389569254,7198.4052734375,5393.509765625,-1,cest-1.2,off-food,23,2.3,ok
170,246,-0.2637755005982545,7158.84765625,5383.90185546875,-1,cest-1.2,off-food,24,2.4,ok
170,247,-0.23977269105653504,7140.7421875,5366.86376953125,-1,cest-1.2,off-food,25,2.5,ok
170,248,-0.2651918120513091,7117.62060546875,5346.1259765625,-1,cest-1.2,off-food,26,2.6,ok
170,249,-0.2440648550772452,7097.3642578125,5315.427734375,-1,cest-1.2,off-food,27,2.7,ok
170,250,-0.23177896393097197,7076.34228515625,5278.79931640625,-1,cest-1.2,off-food,28,2.8,ok
170,251,-0.20756629985087624,7060.123046875,5251.6689453125,-1,cest-1.2,off-food,29,2.9,ok
170,252,-0.2044620847959776,7037.7236328125,5220.4833984375,-1,cest-1.2,off-food,30,3,ok
170,253,-0.20072041224574183,7012.53076171875,5196.33203125,-1,cest-1.2,off-food,31,3.1,ok
170,254,-0.18224598570127742,6988.1455078125,5182.29443359375,-1,cest-1.2,off-food,32,3.2,ok
170,255,-0.16772111277537302,6955.27392578125,5172.9228515625,-1,cest-1.2,off-food,33,3.3,ok
170,256,-0.1603493220698726,6933.048828125,5176.30517578125,-1,cest-1.2,off-food,34,3.4,ok
