SMID,attachements,acylation1_2C,cest_dep,fed,starved,avg,ratio,anomeric_carbon,pathway
angl#10,anthranilic acid nicotinic acid,none,none,0.628023765415914,0.2388264091156518,0.4334250872657829,0.3802824387664486,anthranilate,other
angl#101,anthranilic acid nicotinic acid,nicotinic_acid,cest-1.2,1.022317660631045,0.19562563141357697,0.6089716460223109,0.19135503468933848,anthranilate,AminoAcidCatabolism
angl#12,anthranilic acid propionic acid,propionic_acid,NA,0.007763714493148218,0.02239199721460134,0.01507785585387478,2.8841860728344857,anthranilate,AminoAcidCatabolism
angl#13,anthranilic acid propionic acid,propionic_acid,NA,0.013907872951615182,0.006624109233328001,0.010265991092471592,0.4762848536489337,anthranilate,AminoAcidCatabolism
angl#14,angl tiglic acid,tiglic_acid,NA,1.2979857463107893,0.6747995645776375,0.9863926554442134,0.5198821069457751,anthranilate,AminoAcidCatabolism
angl#141,angl tiglic acid,tiglic_acid,NA,1.134354545832564,0.2433168083030079,0.6888356770677859,0.2144980237412674,anthranilate,AminoAcidCatabolism
angl#16,anthranilic acid benzoic acid,benzoic_acid,cest-1.2,0.04798715184505653,0.011688370554781292,0.029837761199918912,0.24357291702831885,anthranilate,other
angl#161,anthranilic acid benzoic acid,benzoic_acid,cest-1.2,0.013126197044570555,0.007569473855749065,0.01034783545015981,0.5766692233894248,anthranilate,other
angl#18,anthranilic acid tiglic acid (x2),tiglic_acid,none,0.1032282585720431,0.15210699657728272,0.1276676275746629,1.4735015264364564,anthranilate,AminoAcidCatabolism
angl#181,anthranilic acid tiglic acid (x2),tiglic_acid,cest-1.2,0.0023850236620010686,0.014557504866695305,0.008471264264348187,6.103715069426754,anthranilate,AminoAcidCatabolism
angl#26,anthranilic acid (x2) tiglic acid,anthranilic_acid,cest-1.2,0.040290527022008187,0.03900532745546282,0.0396479272387355,0.9681016938338051,anthranilate,other
angl#28,anthranilic acid benzoic acid nicotonic acid,nicotinic_acid,cest-1.2,6.721546451459865e-4,5.653014024594257e-4,6.187280238027061e-4,0.8410287819057575,anthranilate,AminoAcidCatabolism
angl#281,anthranilic acid benzoic acid nicotonic acid,NA,NA,0.004985761203690536,0.004755218376797241,0.004870489790243888,0.9537597535311874,anthranilate,other
angl#30,anthranilic acid nicotinic acid (x2),nicotinic_acid,cest-1.2,0.07498644363823982,0.05820912307760696,0.06659778335792339,0.7762619515392358,anthranilate,AminoAcidCatabolism
angl#34,anthranilic acid tiglic acid phenyalanine,phenylalanine,cest-1.2,0.0028026833791544225,0.007072500559674106,0.004937591969414264,2.523474685823377,anthranilate,other
angl#341,anthranilic acid tiglic acid phenyalanine,NA,NA,0.004747121429320468,0.00948490242153597,0.007116011925428219,1.998032399793425,anthranilate,other
angl#36,anthranilic acid (x3),anthranilic_acid,cest-1.2,0.01430557918668512,0.013412962375798464,0.013859270781241792,0.9376035881359172,anthranilate,other
angl#4,"anthranilic acid, anthranilic acid",none,none,0.2506016028473823,0.06560415950829246,0.15810288117783738,0.26178667160499264,anthranilate,other
angl#40,anthranilic acid (x2) 12:0,anthranilic_acid,cest-1.2,0.008843805231045982,0.004687156318838007,0.006765480774941995,0.5299931642980839,anthranilate,other
angl#401,"anthranilic acid, anthranilic acid",anthranilic_acid,cest-1.2,0.42480635036361675,0.30190804261058596,0.36335719648710135,0.7106956907592485,anthranilate,other
angl#46,anthranilic acid isovaleric acid,isovaleric_acid,NA,0.005575030588074753,0.002732935487993947,0.00415398303803435,0.49020995397582606,anthranilate,AminoAcidCatabolism
angl#48,anthranilic acid tiglic acid isovaleric acid,NA,cest-1.2,8.531363449860647e-4,0.007789466984871027,0.004321301664928546,9.130389334190495,anthranilate,other
anglas#111,ascr#11 anthranilic acid tyramine,NA,NA,0.003807312028218399,0.003924245828281955,0.003865778928250177,1.0307129542304085,NA,other
bzglu#201,benozic acid tiglic acid,tiglic_acid,cest-1.2,0.02143216996425627,0.005107785930662073,0.01326997794745917,0.2383233213986562,benzoic_acid,AminoAcidCatabolism
bzglu#6,benzoic acid pyrrolic acid (x2),pyrrolic_acid,cest-1.2,0.0035834992117896166,5.402183456085925e-4,0.0020618587786991045,0.15075162953330326,benzoic_acid,AminoAcidCatabolism
