SMID,attachements,acylation1_2C,cest_dep,anomeric_carbon,fed,starved,avg,ratio,diff
angl#10,anthranilic acid nicotinic acid,none,none,anthranilate,0.628023765415914,0.2388264091156518,0.4334250872657829,0.3802824387664486,-0.3891973563002622
angl#101,anthranilic acid nicotinic acid,nicotinic_acid,cest-1.2,anthranilate,1.022317660631045,0.19562563141357697,0.6089716460223109,0.19135503468933848,-0.826692029217468
angl#12,anthranilic acid propionic acid,propionic_acid,NA,anthranilate,0.007763714493148218,0.02239199721460134,0.01507785585387478,2.8841860728344857,0.014628282721453122
angl#13,anthranilic acid propionic acid,propionic_acid,NA,anthranilate,0.013907872951615182,0.006624109233328001,0.010265991092471592,0.4762848536489337,-0.007283763718287182
angl#14,angl tiglic acid,tiglic_acid,NA,anthranilate,1.2979857463107893,0.6747995645776375,0.9863926554442134,0.5198821069457751,-0.6231861817331519
angl#141,angl tiglic acid,tiglic_acid,NA,anthranilate,1.134354545832564,0.2433168083030079,0.6888356770677859,0.2144980237412674,-0.891037737529556
angl#16,anthranilic acid benzoic acid,benzoic_acid,cest-1.2,anthranilate,0.04798715184505653,0.011688370554781292,0.029837761199918912,0.24357291702831885,-0.03629878129027524
angl#161,anthranilic acid benzoic acid,benzoic_acid,cest-1.2,anthranilate,0.013126197044570555,0.007569473855749065,0.01034783545015981,0.5766692233894248,-0.00555672318882149
angl#18,anthranilic acid tiglic acid (x2),tiglic_acid,none,anthranilate,0.1032282585720431,0.15210699657728272,0.1276676275746629,1.4735015264364564,0.04887873800523962
angl#181,anthranilic acid tiglic acid (x2),tiglic_acid,cest-1.2,anthranilate,0.0023850236620010686,0.014557504866695305,0.008471264264348187,6.103715069426754,0.012172481204694236
angl#26,anthranilic acid (x2) tiglic acid,anthranilic_acid,cest-1.2,anthranilate,0.040290527022008187,0.03900532745546282,0.0396479272387355,0.9681016938338051,-0.001285199566545367
angl#28,anthranilic acid benzoic acid nicotonic acid,nicotinic_acid,cest-1.2,anthranilate,6.721546451459865e-4,5.653014024594257e-4,6.187280238027061e-4,0.8410287819057575,-1.068532426865608e-4
angl#281,anthranilic acid benzoic acid nicotonic acid,NA,NA,anthranilate,0.004985761203690536,0.004755218376797241,0.004870489790243888,0.9537597535311874,-2.3054282689329453e-4
angl#30,anthranilic acid nicotinic acid (x2),nicotinic_acid,cest-1.2,anthranilate,0.07498644363823982,0.05820912307760696,0.06659778335792339,0.7762619515392358,-0.016777320560632865
angl#34,anthranilic acid tiglic acid phenyalanine,phenylalanine,cest-1.2,anthranilate,0.0028026833791544225,0.007072500559674106,0.004937591969414264,2.523474685823377,0.004269817180519684
angl#341,anthranilic acid tiglic acid phenyalanine,NA,NA,anthranilate,0.004747121429320468,0.00948490242153597,0.007116011925428219,1.998032399793425,0.004737780992215501
angl#36,anthranilic acid (x3),anthranilic_acid,cest-1.2,anthranilate,0.01430557918668512,0.013412962375798464,0.013859270781241792,0.9376035881359172,-8.926168108866553e-4
angl#4,"anthranilic acid, anthranilic acid",none,none,anthranilate,0.2506016028473823,0.06560415950829246,0.15810288117783738,0.26178667160499264,-0.18499744333908985
angl#40,anthranilic acid (x2) 12:0,anthranilic_acid,cest-1.2,anthranilate,0.008843805231045982,0.004687156318838007,0.006765480774941995,0.5299931642980839,-0.004156648912207976
angl#401,"anthranilic acid, anthranilic acid",anthranilic_acid,cest-1.2,anthranilate,0.42480635036361675,0.30190804261058596,0.36335719648710135,0.7106956907592485,-0.12289830775303079
angl#45,anthranilic acid isovaleric acid,isovaleric_acid,cest-1.2,anthranilate,0.005575030588074753,0.002732935487993947,0.00415398303803435,0.49020995397582606,-0.002842095100080806
angl#48,anthranilic acid tiglic acid isovaleric acid,anthranilic_acid,cest-1.2,anthranilate,8.531363449860647e-4,0.007789466984871027,0.004321301664928546,9.130389334190495,0.006936330639884962
bzglu#201,benozic acid tiglic acid,tiglic_acid,cest-1.2,benzoic_acid,0.02143216996425627,0.005107785930662073,0.01326997794745917,0.2383233213986562,-0.016324384033594198
bzglu#6,benzoic acid pyrrolic acid (x2),pyrrolic_acid,cest-1.2,benzoic_acid,0.0035834992117896166,5.402183456085925e-4,0.0020618587786991045,0.15075162953330326,-0.0030432808661810242
bzglu#8,benzoic acid (x2) isovaleric acid,isovaleric_acid,cest-1.2,benzoic_acid,6.411252881768561e-4,0.001207313054462758,9.242191713198071e-4,1.8831156354726686,5.66187766285902e-4
iglu#10,"indole, nicotinic acid",none,none,indole,0.01584753897549661,0.2076779247583691,0.11176273186693286,13.10474295595548,0.19183038578287248
iglu#101,"indole, pyrrolic acid",nicotinic_acid,cest-1.2,indole,0.004337879720180475,0.05482376126959903,0.02958082049488975,12.638377457666833,0.050485881549418556
iglu#12,"indole, benzoic acid",none,none,indole,0.032851642976747086,0.02404885739505435,0.02845025018590072,0.7320442819884689,-0.008802785581692736
iglu#121,"indole, benzoic acid",benzoic_acid,cest-1.2,indole,0.06320223271653895,0.07174217656465164,0.06747220464059529,1.1351209202753043,0.008539943848112685
iglu#14,indole isovaleric acid,isovaleric_acid,NA,indole,0.2475672984638754,0.238118897334727,0.2428430978993012,0.9618350194562264,-0.00944840112914841
iglu#1401,indole isovaleric acid,isovaleric_acid,NA,indole,0.03261000546262488,0.02918738078987775,0.030898693126251313,0.895043725869047,-0.0034226246727471314
iglu#16,"indole, phenyacetic acid",phenylacetic_acid,NA,indole,0.15090714535605743,0.16597844235083695,0.15844279385344717,1.0998713278898729,0.01507129699477952
iglu#161,"indole, phenyacetic acid",phenylacetic_acid,NA,indole,0.014516997522219478,0.018249827211084917,0.016383412366652198,1.257135105461858,0.0037328296888654387
iglu#18,indole hydroxybenozoic acid,none,none,indole,0.20831981255947352,0.2810601391927424,0.24468997587610797,1.3491762292772904,0.0727403266332689
iglu#181,indole hydroxybenozoic acid,hydroxybenzoic_acid,cest-1.2,indole,0.048545856274760976,0.13390859154086526,0.09122722390781313,2.758393853081224,0.08536273526610429
iglu#19,indole propionic acid nicotinic acid,nicotinic_acid,cest-1.2,indole,2.3508041877482632e-4,0.0030238385627822913,0.0016294594907785588,12.862996325009526,0.002788758144007465
iglu#2,indole,none,none,indole,91.5964259950911,18.941539376664803,55.26898268587795,0.20679343294114916,-72.65488661842629
iglu#22,indole pyrrolic acid tiglic acid,pyrrolic_acid,cest-1.2,indole,4.17879940445312e-5,0.01173291364597941,0.00588735082001197,280.7723585266208,0.01169112565193488
iglu#24,indole anthranilic acid propionic acid,anthranilic_acid,NA,indole,1.4183209388161827e-4,0.005886397591342077,0.0030141148426118475,41.50257836745486,0.005744565497460458
iglu#26,indole pyrrolic acid (x2),pyrrolic_acid,NA,indole,4.17879940445312e-5,0.0013765132262333153,7.091506101389233e-4,32.94039969390346,0.001334725232188784
iglu#28,indole benzoic acid tiglic acid,benzoic_acid,cest-1.2,indole,4.17879940445312e-5,0.004732290237766926,0.0023870391159057287,113.24521183582013,0.004690502243722395
