observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,N2,5,5,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,6,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,2,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,6,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,3,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,4,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,4,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,4,NA,OP50,6/2/2021,1,NA,NA
JB,N2,5,4,NA,OP50,6/2/2021,1,NA,NA
JB,cest-1.2,5,2,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,6,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,5,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,6/2/2021,2,NA,NA
JB,N2,30,6,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,3,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,10,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,5,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,6,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,5,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,5,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,6,NA,OP50,6/2/2021,1,NA,NA
JB,N2,30,5,NA,OP50,6/2/2021,1,NA,NA
JB,cest-1.2,30,5,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,5,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,2,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,4,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,3,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,5,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,3,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,7,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,8,NA,OP50,6/2/2021,2,NA,NA
JB,cest-1.2,30,7,NA,OP50,6/2/2021,2,NA,NA
JB,N2,5,5,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,7,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,2,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,5,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,8,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,2,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,3,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,3,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,6,NA,OP50,6/16/2021,11,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,3,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,8,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,5,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,4,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,3,NA,OP50,6/16/2021,12,NA,NA
JB,N2,5,5,NA,OP50,6/16/2021,12,NA,NA
