observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,1,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,349
JB,cest-1.2,5,3,NA,OP50,2023-03-05,349
JB,cest-1.2,5,4,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,349
JB,cest-1.2,5,1,NA,OP50,2023-03-05,349
JB,cest-1.2,5,3,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,349
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,3,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,cest-1.2,5,3,NA,OP50,2023-03-05,350
JB,cest-1.2,5,2,NA,OP50,2023-03-05,350
JB,N2,5,3,NA,OP50,2023-03-05,351
JB,N2,5,3,NA,OP50,2023-03-05,351
JB,N2,5,3,NA,OP50,2023-03-05,351
JB,N2,5,4,NA,OP50,2023-03-05,351
JB,N2,5,2,NA,OP50,2023-03-05,351
JB,N2,5,6,NA,OP50,2023-03-05,351
JB,N2,5,3,NA,OP50,2023-03-05,351
JB,N2,5,4,NA,OP50,2023-03-05,351
JB,N2,5,3,NA,OP50,2023-03-05,351
JB,N2,5,5,NA,OP50,2023-03-05,351
JB,N2,5,4,NA,OP50,2023-03-05,352
JB,N2,5,2,NA,OP50,2023-03-05,352
JB,N2,5,4,NA,OP50,2023-03-05,352
JB,N2,5,2,NA,OP50,2023-03-05,352
JB,N2,5,2,NA,OP50,2023-03-05,352
JB,N2,5,3,NA,OP50,2023-03-05,352
JB,N2,5,6,NA,OP50,2023-03-05,352
JB,N2,5,3,NA,OP50,2023-03-05,352
JB,N2,5,3,NA,OP50,2023-03-05,352
JB,N2,5,4,NA,OP50,2023-03-05,352
JB,ges-1p::cest-1.2,5,1,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,2,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,2,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,4,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,1,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,1,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,2,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,3,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,2,NA,OP50,2023-04-05,361
JB,ges-1p::cest-1.2,5,1,NA,OP50,2023-04-05,361
JB,cest-1.2,5,3,NA,OP50,2023-04-05,362
JB,cest-1.2,5,4,NA,OP50,2023-04-05,362
JB,cest-1.2,5,1,NA,OP50,2023-04-05,362
JB,cest-1.2,5,1,NA,OP50,2023-04-05,362
JB,cest-1.2,5,2,NA,OP50,2023-04-05,362
JB,cest-1.2,5,1,NA,OP50,2023-04-05,362
JB,cest-1.2,5,2,NA,OP50,2023-04-05,362
JB,cest-1.2,5,4,NA,OP50,2023-04-05,362
JB,cest-1.2,5,1,NA,OP50,2023-04-05,362
JB,cest-1.2,5,1,NA,OP50,2023-04-05,362
JB,N2,5,4,NA,OP50,2023-04-05,363
JB,N2,5,2,NA,OP50,2023-04-05,363
JB,N2,5,2,NA,OP50,2023-04-05,363
JB,N2,5,2,NA,OP50,2023-04-05,363
JB,N2,5,3,NA,OP50,2023-04-05,363
JB,N2,5,2,NA,OP50,2023-04-05,363
JB,N2,5,3,NA,OP50,2023-04-05,363
JB,N2,5,3,NA,OP50,2023-04-05,363
JB,N2,5,3,NA,OP50,2023-04-05,363
JB,N2,5,4,NA,OP50,2023-04-05,363
JB,cest-1.2p::cest-1.2,5,4,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,3,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,4,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,3,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,cest-1.2p::cest-1.2,5,2,NA,OP50,2023-04-05,364
JB,N2,5,4,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,2,NA,OP50,2023-04-14,375
JB,N2,5,5,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,2,NA,OP50,2023-04-14,375
JB,N2,5,4,NA,OP50,2023-04-14,375
JB,N2,5,4,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,2,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,2,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,4,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,2,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,N2,5,3,NA,OP50,2023-04-14,375
JB,cest-1.2,5,1,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,1,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,1,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,5,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,1,NA,OP50,2023-04-14,376
JB,cest-1.2,5,3,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
JB,cest-1.2,5,2,NA,OP50,2023-04-14,376
