observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,N2,5,1,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,3,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,3,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,3,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,2,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,2,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,3,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,5,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,4,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,6,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,9,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,2,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,4,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,2,EtOH_plate,OP50,2023-04-02,366
JB,N2,5,2,EtOH_plate,OP50,2023-04-02,366
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,5,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,3,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,4,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,3,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,3,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-02,367
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,1,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,5,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,1,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-02,368
JB,cest-1.2,5,5,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,4,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,3,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,4,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,5,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,EtOH_plate,OP50,2023-04-05,369
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,3,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,2,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,1,0.5mM_Indole_plate,OP50,2023-04-05,370
JB,cest-1.2,5,3,0.5mM_Indole_plate,OP50,2023-04-05,370
